Unnamed: 0,age,gender,year_in_school,major,monthly_income,financial_aid,tuition,housing,food,transportation,books_supplies,entertainment,personal_care,technology,health_wellness,miscellaneous,preferred_payment_method,personal_expenses,education_expenses,daily_essentials_expenses,discretionary_expenses
121,24,Non-binary,Freshman,Biology,1487,940,3167,765,202,146,183,145,23,233,120,44,Mobile Payment App,143,3350,348,189
122,25,Non-binary,Junior,Computer Science,1327,196,5067,613,278,179,187,149,38,227,162,104,Cash,200,5254,457,253
123,22,Non-binary,Senior,Economics,1095,165,4532,801,253,167,243,73,33,110,66,98,Credit/Debit Card,99,4775,420,171
124,23,Male,Senior,Biology,1460,436,3230,787,377,176,158,117,78,299,84,43,Mobile Payment App,162,3388,553,160
125,20,Female,Freshman,Engineering,1354,427,3691,515,224,120,125,71,46,140,184,177,Credit/Debit Card,230,3816,344,248
126,20,Male,Sophomore,Biology,836,620,4311,584,301,160,193,91,46,143,120,53,Cash,166,4504,461,144
127,22,Male,Junior,Engineering,1212,529,4012,897,400,53,120,117,88,284,119,105,Credit/Debit Card,207,4132,453,222
128,20,Non-binary,Senior,Engineering,1483,277,3413,554,182,138,275,72,35,160,74,190,Credit/Debit Card,109,3688,320,262
129,22,Non-binary,Sophomore,Computer Science,998,935,5420,516,297,96,103,129,78,251,109,63,Credit/Debit Card,187,5523,393,192
130,22,Non-binary,Senior,Biology,885,325,4389,907,317,144,126,149,89,243,156,81,Credit/Debit Card,245,4515,461,230
131,25,Male,Senior,Engineering,726,333,3854,738,177,195,110,92,77,117,30,50,Credit/Debit Card,107,3964,372,142
132,25,Female,Junior,Psychology,1037,990,4885,481,367,130,272,56,57,150,92,22,Mobile Payment App,149,5157,497,78
133,22,Female,Freshman,Engineering,1456,993,3377,733,201,94,284,123,34,59,77,97,Mobile Payment App,111,3661,295,220
134,24,Male,Junior,Economics,676,183,4129,600,135,75,227,25,22,200,164,133,Mobile Payment App,186,4356,210,158
135,24,Female,Senior,Psychology,571,215,5579,424,133,149,139,29,58,275,173,109,Mobile Payment App,231,5718,282,138
136,23,Male,Junior,Computer Science,1213,761,5944,768,246,196,165,52,68,198,180,40,Mobile Payment App,248,6109,442,92
137,24,Female,Sophomore,Psychology,1112,547,5305,498,357,170,183,92,84,138,92,197,Cash,176,5488,527,289
138,18,Female,Sophomore,Economics,1100,535,4834,593,201,197,78,92,44,178,198,45,Credit/Debit Card,242,4912,398,137
139,21,Male,Sophomore,Psychology,526,375,4279,747,159,183,197,67,21,88,58,108,Cash,79,4476,342,175
140,22,Male,Junior,Computer Science,951,202,3172,818,158,68,95,76,63,122,47,96,Mobile Payment App,110,3267,226,172
141,23,Male,Sophomore,Computer Science,1301,163,5696,899,117,51,278,22,22,153,70,150,Cash,92,5974,168,172
142,25,Male,Junior,Psychology,1103,5,5960,676,375,149,133,76,33,212,165,169,Mobile Payment App,198,6093,524,245
143,24,Male,Senior,Computer Science,1083,466,5692,644,111,80,235,76,42,108,65,73,Cash,107,5927,191,149
144,23,Female,Senior,Engineering,860,47,3057,614,235,115,117,71,72,226,94,126,Cash,166,3174,350,197
145,18,Male,Senior,Biology,1354,882,3341,969,348,75,126,49,93,201,116,178,Cash,209,3467,423,227
146,23,Male,Senior,Biology,877,847,4768,465,221,96,52,39,73,94,141,64,Credit/Debit Card,214,4820,317,103
147,21,Male,Freshman,Engineering,649,577,3046,931,224,161,200,24,80,213,135,180,Credit/Debit Card,215,3246,385,204
148,24,Male,Sophomore,Computer Science,897,220,4655,799,358,125,290,80,23,156,177,46,Credit/Debit Card,200,4945,483,126
149,21,Non-binary,Freshman,Psychology,1147,872,3709,581,102,188,225,98,72,273,126,166,Mobile Payment App,198,3934,290,264
150,23,Non-binary,Senior,Biology,1367,606,5577,916,260,78,213,145,71,223,123,199,Credit/Debit Card,194,5790,338,344
151,21,Male,Freshman,Computer Science,647,382,4943,807,149,61,214,136,26,191,102,107,Cash,128,5157,210,243
152,21,Female,Senior,Engineering,656,725,3360,931,329,188,95,120,92,102,59,198,Credit/Debit Card,151,3455,517,318
153,19,Non-binary,Junior,Economics,1131,315,3194,468,328,177,118,26,69,66,161,120,Mobile Payment App,230,3312,505,146
154,19,Female,Freshman,Psychology,1319,803,4160,677,159,73,229,140,38,108,175,31,Cash,213,4389,232,171
155,22,Female,Freshman,Economics,917,856,5010,434,128,184,277,98,29,115,61,66,Credit/Debit Card,90,5287,312,164
156,19,Female,Sophomore,Biology,872,206,5309,944,232,166,153,58,64,67,167,86,Credit/Debit Card,231,5462,398,144
157,20,Male,Sophomore,Economics,901,115,3388,737,295,84,297,66,80,146,100,93,Mobile Payment App,180,3685,379,159
158,18,Male,Junior,Engineering,536,535,5547,676,255,82,111,128,35,252,160,79,Credit/Debit Card,195,5658,337,207
159,25,Female,Senior,Psychology,506,931,4087,998,251,175,80,82,82,76,152,56,Mobile Payment App,234,4167,426,138
160,23,Female,Junior,Economics,1201,635,3748,459,291,56,199,100,81,290,135,131,Credit/Debit Card,216,3947,347,231
161,25,Non-binary,Senior,Computer Science,1189,48,5568,815,159,79,66,113,68,91,94,37,Cash,162,5634,238,150
162,23,Female,Junior,Economics,546,387,3890,747,282,140,53,35,38,67,75,181,Credit/Debit Card,113,3943,422,216
163,19,Non-binary,Senior,Biology,1181,989,3162,559,196,137,89,46,60,249,134,200,Cash,194,3251,333,246
164,18,Female,Sophomore,Economics,810,292,3953,771,340,51,98,120,88,133,58,113,Cash,146,4051,391,233
165,19,Non-binary,Freshman,Engineering,855,397,4028,633,400,146,174,148,42,77,153,122,Cash,195,4202,546,270
166,23,Male,Sophomore,Biology,1354,17,5911,631,385,160,112,34,32,225,173,60,Cash,205,6023,545,94
167,20,Male,Freshman,Psychology,1056,861,5433,405,183,194,187,61,66,144,107,22,Cash,173,5620,377,83
168,19,Male,Freshman,Economics,620,215,4981,704,243,197,285,135,83,192,36,197,Credit/Debit Card,119,5266,440,332
169,24,Female,Freshman,Economics,1207,339,4361,638,201,143,241,112,29,86,139,110,Cash,168,4602,344,222
170,21,Non-binary,Sophomore,Psychology,621,456,5893,960,199,124,278,115,48,193,178,68,Cash,226,6171,323,183
171,25,Female,Senior,Engineering,1033,64,4249,517,104,64,259,131,66,234,63,104,Mobile Payment App,129,4508,168,235
172,19,Non-binary,Freshman,Psychology,722,2,3701,450,102,82,267,38,65,129,186,125,Mobile Payment App,251,3968,184,163
173,20,Male,Freshman,Psychology,1304,76,3564,847,180,92,300,90,64,113,34,113,Mobile Payment App,98,3864,272,203
174,21,Non-binary,Junior,Biology,912,970,3424,991,348,181,86,134,70,175,40,184,Credit/Debit Card,110,3510,529,318
175,23,Male,Sophomore,Biology,963,871,4951,778,253,105,135,124,46,185,164,160,Cash,210,5086,358,284
176,18,Female,Junior,Engineering,1286,618,3015,925,103,129,56,50,93,215,43,105,Mobile Payment App,136,3071,232,155
177,18,Male,Freshman,Economics,1104,180,4653,683,362,185,90,79,91,91,99,64,Credit/Debit Card,190,4743,547,143
178,23,Non-binary,Senior,Economics,697,927,3756,734,394,192,109,80,73,247,69,195,Cash,142,3865,586,275
179,21,Male,Freshman,Engineering,1230,968,4254,540,285,99,169,101,57,77,87,43,Cash,144,4423,384,144
180,25,Female,Junior,Engineering,1345,649,3889,919,311,133,68,149,66,69,159,162,Mobile Payment App,225,3957,444,311
181,20,Female,Junior,Biology,1411,517,3074,874,151,77,219,21,44,280,57,176,Mobile Payment App,101,3293,228,197
182,24,Female,Freshman,Economics,1355,282,5998,617,311,79,264,35,73,254,131,164,Credit/Debit Card,204,6262,390,199
183,24,Non-binary,Junior,Economics,608,918,4056,568,336,186,159,82,89,251,166,142,Mobile Payment App,255,4215,522,224
184,22,Female,Senior,Biology,566,480,3542,834,360,64,289,48,86,226,132,120,Credit/Debit Card,218,3831,424,168
185,25,Female,Junior,Economics,1310,982,4548,837,219,60,72,82,51,260,30,171,Mobile Payment App,81,4620,279,253
186,24,Female,Sophomore,Biology,1354,52,3169,849,335,60,199,77,45,101,195,125,Credit/Debit Card,240,3368,395,202
187,23,Male,Sophomore,Economics,1020,17,4645,943,305,156,240,123,53,290,77,63,Cash,130,4885,461,186
188,24,Non-binary,Senior,Engineering,1394,871,4450,416,268,133,146,22,68,172,126,185,Cash,194,4596,401,207
189,22,Non-binary,Sophomore,Psychology,954,337,5756,717,159,195,196,138,26,154,160,85,Credit/Debit Card,186,5952,354,223
190,21,Male,Senior,Biology,1448,794,3959,624,171,172,103,59,89,206,182,158,Mobile Payment App,271,4062,343,217
191,21,Non-binary,Sophomore,Biology,968,8,4078,670,108,56,129,26,66,272,64,151,Credit/Debit Card,130,4207,164,177
192,19,Male,Freshman,Economics,1450,809,4103,845,255,89,136,110,85,183,85,110,Credit/Debit Card,170,4239,344,220
193,22,Female,Freshman,Computer Science,1316,938,4316,953,153,179,229,105,66,184,151,137,Credit/Debit Card,217,4545,332,242
194,24,Male,Freshman,Computer Science,904,955,4075,875,310,197,201,91,83,224,186,101,Cash,269,4276,507,192
195,23,Female,Junior,Computer Science,1488,77,5418,545,112,193,158,21,64,257,168,86,Cash,232,5576,305,107
196,20,Female,Junior,Psychology,893,258,5877,469,131,192,222,73,84,125,176,74,Cash,260,6099,323,147
197,21,Male,Freshman,Biology,527,851,4464,683,390,194,185,127,65,188,168,193,Credit/Debit Card,233,4649,584,320
198,24,Male,Senior,Biology,804,640,3043,927,347,167,151,114,35,206,94,169,Credit/Debit Card,129,3194,514,283
199,25,Female,Junior,Engineering,547,233,5070,633,164,94,147,123,25,236,116,37,Credit/Debit Card,141,5217,258,160
200,19,Non-binary,Freshman,Computer Science,523,892,4683,438,180,65,208,108,59,192,92,132,Cash,151,4891,245,240
201,24,Female,Senior,Economics,1040,970,5293,701,323,97,196,93,62,170,90,64,Credit/Debit Card,152,5489,420,157
202,24,Male,Freshman,Computer Science,918,273,3012,759,113,181,62,99,81,226,155,199,Credit/Debit Card,236,3074,294,298
203,23,Female,Junior,Biology,504,775,4132,997,237,69,199,111,58,62,195,195,Credit/Debit Card,253,4331,306,306
204,24,Female,Senior,Economics,1203,115,3234,858,249,157,292,132,94,278,66,49,Cash,160,3526,406,181
205,20,Female,Senior,Psychology,951,279,4004,453,366,121,287,71,65,207,129,122,Mobile Payment App,194,4291,487,193
206,24,Non-binary,Sophomore,Psychology,857,583,3939,587,147,126,160,117,85,98,69,143,Mobile Payment App,154,4099,273,260
207,19,Male,Senior,Psychology,812,539,3191,744,108,189,296,31,81,204,87,34,Cash,168,3487,297,65
208,18,Male,Sophomore,Computer Science,540,649,5188,746,173,147,113,139,29,103,73,118,Credit/Debit Card,102,5301,320,257
209,19,Non-binary,Junior,Psychology,889,483,3007,673,225,113,113,148,40,256,171,175,Cash,211,3120,338,323
210,18,Non-binary,Freshman,Psychology,992,680,5718,533,241,84,276,65,81,141,171,51,Credit/Debit Card,252,5994,325,116
211,21,Male,Junior,Biology,760,869,3712,567,291,94,86,141,97,55,165,44,Mobile Payment App,262,3798,385,185
212,25,Male,Sophomore,Biology,1199,996,4865,533,207,123,70,104,76,256,189,192,Credit/Debit Card,265,4935,330,296
213,20,Female,Junior,Biology,578,460,4893,488,139,168,58,105,92,177,183,92,Credit/Debit Card,275,4951,307,197
214,24,Female,Senior,Economics,994,940,4885,487,143,54,79,74,53,77,66,22,Cash,119,4964,197,96
215,18,Non-binary,Junior,Economics,552,481,5312,937,307,77,71,21,52,127,46,77,Mobile Payment App,98,5383,384,98
216,21,Male,Junior,Computer Science,1444,792,5866,607,396,189,125,76,80,59,79,78,Credit/Debit Card,159,5991,585,154
217,19,Female,Junior,Psychology,1203,550,3282,654,182,108,288,147,38,92,182,128,Mobile Payment App,220,3570,290,275
218,25,Female,Sophomore,Computer Science,1481,50,4898,982,157,162,159,30,76,225,99,166,Credit/Debit Card,175,5057,319,196
219,25,Non-binary,Sophomore,Economics,700,174,5318,846,206,108,284,70,23,220,169,142,Credit/Debit Card,192,5602,314,212
220,25,Female,Junior,Economics,1087,415,5282,503,155,186,116,31,31,108,141,200,Mobile Payment App,172,5398,341,231
221,23,Male,Senior,Economics,672,699,4520,435,153,180,61,75,56,248,195,82,Mobile Payment App,251,4581,333,157
222,21,Male,Sophomore,Computer Science,825,882,4307,589,181,54,89,113,55,266,34,176,Credit/Debit Card,89,4396,235,289
223,24,Male,Sophomore,Computer Science,1033,267,5997,806,374,86,229,78,31,139,153,77,Cash,184,6226,460,155
224,25,Non-binary,Freshman,Engineering,774,250,5306,942,324,73,271,107,77,92,80,66,Credit/Debit Card,157,5577,397,173
225,23,Male,Junior,Engineering,1365,744,3066,936,265,52,121,46,85,292,128,115,Credit/Debit Card,213,3187,317,161
226,25,Non-binary,Sophomore,Economics,810,826,3709,938,206,180,112,82,45,165,110,98,Mobile Payment App,155,3821,386,180
227,22,Male,Sophomore,Economics,856,33,5420,967,391,112,196,43,71,294,91,139,Mobile Payment App,162,5616,503,182
228,21,Female,Senior,Psychology,985,586,4345,481,110,141,135,103,42,270,194,196,Credit/Debit Card,236,4480,251,299
229,22,Non-binary,Junior,Biology,919,369,4599,788,119,170,58,124,34,97,64,185,Credit/Debit Card,98,4657,289,309
